Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      2.69     0.00                             PHYSFS_swapSLE64
  0.00      2.69     0.00                             PHYSFS_swapUBE16
  0.00      2.69     0.00                             PHYSFS_swapUBE32
  0.00      2.69     0.00                             PHYSFS_swapUBE64
  0.00      2.69     0.00                             PHYSFS_swapULE16
  0.00      2.69     0.00                             PHYSFS_swapULE32
  0.00      2.69     0.00                             PHYSFS_swapULE64
  0.00      2.69     0.00                             PHYSFS_symbolicLinksPermitted
  0.00      2.69     0.00                             PHYSFS_tell
  0.00      2.69     0.00                             PHYSFS_utf8FromLatin1
  0.00      2.69     0.00                             PHYSFS_utf8FromUcs2
  0.00      2.69     0.00                             PHYSFS_utf8FromUcs4
  0.00      2.69     0.00                             PHYSFS_utf8ToUcs2
  0.00      2.69     0.00                             PHYSFS_utf8ToUcs4
  0.00      2.69     0.00                             PHYSFS_write
  0.00      2.69     0.00                             PHYSFS_writeSBE16
  0.00      2.69     0.00                             PHYSFS_writeSBE32
  0.00      2.69     0.00                             PHYSFS_writeSBE64
  0.00      2.69     0.00                             PHYSFS_writeSLE16
  0.00      2.69     0.00                             PHYSFS_writeSLE32
  0.00      2.69     0.00                             PHYSFS_writeSLE64
  0.00      2.69     0.00                             PHYSFS_writeUBE16
  0.00      2.69     0.00                             PHYSFS_writeUBE32
  0.00      2.69     0.00                             PHYSFS_writeUBE64
  0.00      2.69     0.00                             PHYSFS_writeULE16
  0.00      2.69     0.00                             PHYSFS_writeULE32
  0.00      2.69     0.00                             PHYSFS_writeULE64
  0.00      2.69     0.00                             SDL_PNGFormatAlpha
  0.00      2.69     0.00                             SDL_SavePNG_RW
  0.00      2.69     0.00                             ZIP_dirClose
  0.00      2.69     0.00                             ZIP_enumerateFiles
  0.00      2.69     0.00                             ZIP_eof
  0.00      2.69     0.00                             ZIP_exists
  0.00      2.69     0.00                             ZIP_fileClose
  0.00      2.69     0.00                             ZIP_fileLength
  0.00      2.69     0.00                             ZIP_getLastModTime
  0.00      2.69     0.00                             ZIP_isArchive
  0.00      2.69     0.00                             ZIP_isDirectory
  0.00      2.69     0.00                             ZIP_isSymLink
  0.00      2.69     0.00                             ZIP_mkdir
  0.00      2.69     0.00                             ZIP_openAppend
  0.00      2.69     0.00                             ZIP_openArchive
  0.00      2.69     0.00                             ZIP_openRead
  0.00      2.69     0.00                             ZIP_openWrite
  0.00      2.69     0.00                             ZIP_read
  0.00      2.69     0.00                             ZIP_remove
  0.00      2.69     0.00                             ZIP_seek
  0.00      2.69     0.00                             ZIP_tell
  0.00      2.69     0.00                             ZIP_write
  0.00      2.69     0.00                             _GLOBAL__sub_I__Z18rwops_read_handlerPvPhmPm
  0.00      2.69     0.00                             _GLOBAL__sub_I__ZN4textC2EPKc
  0.00      2.69     0.00                             _GLOBAL__sub_I_backpics
  0.00      2.69     0.00                             _GLOBAL__sub_I_cfg
  0.00      2.69     0.00                             _GLOBAL__sub_I_debug_draw_paths
  0.00      2.69     0.00                             _GLOBAL__sub_I_raw_key
  0.00      2.69     0.00                             _GLOBAL__sub_I_scenpalette
  0.00      2.69     0.00                             Init_2xSaI()
  0.00      2.69     0.00                             Super2xSaI(SDL_Surface*, SDL_Surface*, int, int, int, int, int, int)
  0.00      2.69     0.00                             create_dir(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             delete_all()
  0.00      2.69     0.00                             grab_mouse()
  0.00      2.69     0.00                             grab_timer()
  0.00      2.69     0.00                             init_input()
  0.00      2.69     0.00                             intro_main(int, char**)
  0.00      2.69     0.00                             list_files(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             pick_level(screen*, int, bool)
  0.00      2.69     0.00                             time_delay(int)
  0.00      2.69     0.00                             unzip_into(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             change_time(unsigned int)
  0.00      2.69     0.00                             isPlayerKey(int, int)
  0.00      2.69     0.00                             list_levels[abi:cxx11]()
  0.00      2.69     0.00                             picker_main(int, char**)
  0.00      2.69     0.00                             picker_quit()
  0.00      2.69     0.00                             query_timer()
  0.00      2.69     0.00                             reset_timer()
  0.00      2.69     0.00                             return_menu(int)
  0.00      2.69     0.00                             score_panel(screen*)
  0.00      2.69     0.00                             score_panel(screen*, short)
  0.00      2.69     0.00                             set_palette(unsigned char*)
  0.00      2.69     0.00                             clear_events()
  0.00      2.69     0.00                             delete_level(int)
  0.00      2.69     0.00                             draw_buttons(button*, int)
  0.00      2.69     0.00                             get_keypress()
  0.00      2.69     0.00                             get_new_name(unsigned char)
  0.00      2.69     0.00                             get_num_foes(LevelData&)
  0.00      2.69     0.00                             init_buttons(button*, int)
  0.00      2.69     0.00                             level_editor()
  0.00      2.69     0.00                             load_palette(char const*, unsigned char*)
  0.00      2.69     0.00                             main_options()
  0.00      2.69     0.00                             popup_dialog(char const*, char const*)
  0.00      2.69     0.00                             save_palette(unsigned char*)
  0.00      2.69     0.00                             timed_dialog(char const*, float)
  0.00      2.69     0.00                             wait_for_key(int)
  0.00      2.69     0.00                             zip_contents(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             Super2xSaI_ex(unsigned char*, unsigned int, unsigned char*, unsigned char*, unsigned int, unsigned int, unsigned int)
  0.00      2.69     0.00                             calculate_exp(int)
  0.00      2.69     0.00                             change_allied()
  0.00      2.69     0.00                             check_collide(int, int, int, int, int, int, int, int)
  0.00      2.69     0.00                             decrease_stat(int, int)
  0.00      2.69     0.00                             draw_backdrop()
  0.00      2.69     0.00                             getLevelStats(LevelData&, int*, float*, int*, float*, std::__cxx11::list<int, std::allocator<int> >&)
  0.00      2.69     0.00                             get_user_path[abi:cxx11]()
  0.00      2.69     0.00                             handle_events(SDL_Event const&)
  0.00      2.69     0.00                             increase_stat(int, int)
  0.00      2.69     0.00                             list_levels_v()
  0.00      2.69     0.00                             load_campaign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> > >&, int)
  0.00      2.69     0.00                             load_map_data(PixieData*)
  0.00      2.69     0.00                             ob_pass_check(short, short, walker*, std::__cxx11::list<walker*, std::allocator<walker*> > const&)
  0.00      2.69     0.00                             pick_campaign(SaveData*, bool)
  0.00      2.69     0.00                             read_one_line(SDL_RWops*, short)
  0.00      2.69     0.00                             read_scenario(screen*)
  0.00      2.69     0.00                             release_mouse()
  0.00      2.69     0.00                             release_timer()
  0.00      2.69     0.00                             resetJoystick(int)
  0.00      2.69     0.00                             reset_buttons(vbutton*&, button*, int, int&)
  0.00      2.69     0.00                             shareCampaign(screen*)
  0.00      2.69     0.00                             toggle_effect(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.69     0.00                             Super2xSaI_ex2(unsigned char*, int, int, int, int, int, int, unsigned char*, int, int, int)
  0.00      2.69     0.00                             adjust_palette(unsigned char*, short)
